negotiation	Переговорні процедури
reporting	Звіт про укладений договір
aboveThresholdUA	Відкриті торги
belowThreshold	Допорогові процедури
aboveThresholdEU	Відкриті тогри з публікацією англійською мовою
covid19	Закупівля для протидії COVID-19
competitiveDialogueUA	Конкурентний діалог 1-ий етап
competitiveDialogueUA.stage2	Конкурентний діалог 2-ий етап
closeFrameworkAgreementSelectionUA	Відбір для закупівлі за рамковою угодою
closeFrameworkAgreementUA	Укладання рамкової угоди
competitiveDialogueEU	Конкурентний діалог з публікацією англійською мовою 1-ий етап
competitiveDialogueEU.stage2	Конкурентний діалог з публікацією англійською мовою 2-ий етап
aboveThresholdUA.defense	Закупівля для потреб оборони
esco	esco
simple.defense	Спрощені торги із застосуванням електронної системи закупівель
